Number	variable.number	na	na	#0099ff
Header	header.id	bold	#3E3D32	#E6DB74
Name	name.id	na	na	#ff0000
Nucleotide	nt.A	na	#64f73f	#000000
Nucleotide	nt.T	na	#eb413c	#000000
Nucleotide	nt.G	na	#ffb340	#000000
Nucleotide	nt.C	na	#3c88ee	#000000
Nucleotide	nt.N	na	na	#F8F8F0
Nucleotide	nt.X	na	na	#F8F8F0
Nucleotide	nt.INDEL	na	na	#75715E
Coordinate	coord.Chr	bold	na	#1e8449
Coordinate	coord.Start	na	na	#1e8449
Coordinate	coord.End	na	na	#1e8449
Strand	strand.plus	na	na	#F92672
Strand	strand.minus	na	na	#A6E22E
Strand	strand.none	na	na	#66D9EF
gradient0	grad0	na	na	#FFFFFF
gradient1	grad1	na	na	#FFE7FD
gradient2	grad2	na	na	#FFCFFB
gradient3	grad3	na	na	#FFB7F9
gradient4	grad4	na	na	#FF9FF7
gradient5	grad5	na	na	#FF88F6
gradient6	grad6	na	na	#FF70F4
gradient7	grad7	na	na	#FF58F2
gradient8	grad8	na	na	#FF40F0
gradient9	grad9	na	na	#FF29EF
gradient10	grad10	na	na	#ff00eb
gradient.bw0	grad.bw0	na	na	#3c3d38
gradient.bw1	grad.bw1	na	na	#4f504b
gradient.bw2	grad.bw2	na	na	#63635F
gradient.bw3	grad.bw3	na	na	#767773
gradient.bw4	grad.bw4	na	na	#8A8A87
gradient.bw5	grad.bw5	na	na	#9D9E9B
gradient.bw6	grad.bw6	na	na	#B1B1AF
gradient.bw7	grad.bw7	na	na	#C4C4C3
gradient.bw8	grad.bw8	na	na	#D8D8D7
gradient.bw9	grad.bw9	na	na	#EbEbEb
gradient.bw10	grad.bw10	na	na	#FFFFFF
Aminoacid	aa.clustal.A	na	na	#80a0f0
Aminoacid	aa.clustal.R	na	na	#f01505
Aminoacid	aa.clustal.N	na	na	#00ff00
Aminoacid	aa.clustal.D	na	na	#c048c0
Aminoacid	aa.clustal.C	na	na	#f08080
Aminoacid	aa.clustal.Q	na	na	#00ff00
Aminoacid	aa.clustal.E	na	na	#c048c0
Aminoacid	aa.clustal.G	na	na	#f09048
Aminoacid	aa.clustal.H	na	na	#15a4a4
Aminoacid	aa.clustal.I	na	na	#80a0f0
Aminoacid	aa.clustal.L	na	na	#80a0f0
Aminoacid	aa.clustal.K	na	na	#f01505
Aminoacid	aa.clustal.M	na	na	#80a0f0
Aminoacid	aa.clustal.F	na	na	#80a0f0
Aminoacid	aa.clustal.P	na	na	#ffff00
Aminoacid	aa.clustal.S	na	na	#00ff00
Aminoacid	aa.clustal.T	na	na	#00ff00
Aminoacid	aa.clustal.W	na	na	#80a0f0
Aminoacid	aa.clustal.Y	na	na	#15a4a4
Aminoacid	aa.clustal.V	na	na	#80a0f0
Aminoacid	aa.clustal.B	na	na	#ffffff
Aminoacid	aa.clustal.X	na	na	#ffffff
Aminoacid	aa.clustal.Z	na	na	#ffffff
Aminoacid	aa.zappo.A	na	na	#ffafaf
Aminoacid	aa.zappo.R	na	na	#6464ff
Aminoacid	aa.zappo.N	na	na	#00ff00
Aminoacid	aa.zappo.D	na	na	#ff0000
Aminoacid	aa.zappo.C	na	na	#ffff00
Aminoacid	aa.zappo.Q	na	na	#00ff00
Aminoacid	aa.zappo.E	na	na	#ff0000
Aminoacid	aa.zappo.G	na	na	#ff00ff
Aminoacid	aa.zappo.H	na	na	#6464ff
Aminoacid	aa.zappo.I	na	na	#ffafaf
Aminoacid	aa.zappo.L	na	na	#ffafaf
Aminoacid	aa.zappo.K	na	na	#6464ff
Aminoacid	aa.zappo.M	na	na	#ffafaf
Aminoacid	aa.zappo.F	na	na	#ffc800
Aminoacid	aa.zappo.P	na	na	#ff00ff
Aminoacid	aa.zappo.S	na	na	#00ff00
Aminoacid	aa.zappo.T	na	na	#00ff00
Aminoacid	aa.zappo.W	na	na	#ffc800
Aminoacid	aa.zappo.Y	na	na	#ffc800
Aminoacid	aa.zappo.V	na	na	#ffafaf
Aminoacid	aa.zappo.B	na	na	#ffffff
Aminoacid	aa.zaapo.X	na	na	#ffffff
Aminoacid	aa.zappo.Z	na	na	#ffffff
Aminoacid	aa.taylor.A	na	na	#ccff00
Aminoacid	aa.taylor.R	na	na	#0000ff
Aminoacid	aa.taylor.N	na	na	#cc00ff
Aminoacid	aa.taylor.D	na	na	#ff0000
Aminoacid	aa.taylor.C	na	na	#ffff00
Aminoacid	aa.taylor.Q	na	na	#ff00cc
Aminoacid	aa.taylor.E	na	na	#ff0066
Aminoacid	aa.taylor.G	na	na	#ff9900
Aminoacid	aa.taylor.H	na	na	#0066ff
Aminoacid	aa.taylor.I	na	na	#66ff00
Aminoacid	aa.taylor.L	na	na	#33ff00
Aminoacid	aa.taylor.K	na	na	#6600ff
Aminoacid	aa.taylor.M	na	na	#00ff00
Aminoacid	aa.taylor.F	na	na	#00ff66
Aminoacid	aa.taylor.P	na	na	#ffcc00
Aminoacid	aa.taylor.S	na	na	#ff3300
Aminoacid	aa.taylor.T	na	na	#ff6600
Aminoacid	aa.taylor.W	na	na	#00ccff
Aminoacid	aa.taylor.Y	na	na	#00ffcc
Aminoacid	aa.taylor.V	na	na	#99ff00
Aminoacid	aa.taylor.B	na	na	#ffffff
Aminoacid	aa.taylor.X	na	na	#ffffff
Aminoacid	aa.taylor.Z	na	na	#ffffff
Aminoacid	aa.hydrophobicity.A	na	na	#ad0052
Aminoacid	aa.hydrophobicity.R	na	na	#0000ff
Aminoacid	aa.hydrophobicity.N	na	na	#0c00f3
Aminoacid	aa.hydrophobicity.D	na	na	#0c00f3
Aminoacid	aa.hydrophobicity.C	na	na	#c2003d
Aminoacid	aa.hydrophobicity.Q	na	na	#0c00f3
Aminoacid	aa.hydrophobicity.E	na	na	#0c00f3
Aminoacid	aa.hydrophobicity.G	na	na	#6a0095
Aminoacid	aa.hydrophobicity.H	na	na	#1500ea
Aminoacid	aa.hydrophobicity.I	na	na	#ff0000
Aminoacid	aa.hydrophobicity.L	na	na	#ea0015
Aminoacid	aa.hydrophobicity.K	na	na	#0000ff
Aminoacid	aa.hydrophobicity.M	na	na	#b0004f
Aminoacid	aa.hydrophobicity.F	na	na	#cb0034
Aminoacid	aa.hydrophobicity.P	na	na	#4600b9
Aminoacid	aa.hydrophobicity.S	na	na	#5e00a1
Aminoacid	aa.hydrophobicity.T	na	na	#61009e
Aminoacid	aa.hydrophobicity.W	na	na	#5b00a4
Aminoacid	aa.hydrophobicity.Y	na	na	#4f00b0
Aminoacid	aa.hydrophobicity.V	na	na	#f60009
Aminoacid	aa.hydrophobicity.B	na	na	#0c00f3
Aminoacid	aa.hydrophobicity.X	na	na	#680097
Aminoacid	aa.hydrophobicity.Z	na	na	#0c00f3

